LPI_Rank,LPI_Round_Pick,Player_Name,Position,Pos_Rank,Team,LPI_Predicted_PPG,Pos_Replacement_PPG,Projected_VORP_Per_Game,Projected_Season_VORP,Consensus_ADP_Rank,Consensus_ADP_Round_Pick,LPI_vs_ADP_Diff,Prospective_Grade_at_ADP
1,1.01,Saquon Barkley,RB,RB1,PHI,15.91,7.9497,7.96,127.4,3,1.03,2,59
2,1.02,Jahmyr Gibbs,RB,RB2,DET,15.52,7.9497,7.57,121.1,4,1.04,2,57
3,1.03,Bijan Robinson,RB,RB3,ATL,15.21,7.9497,7.26,116.2,2,1.02,-1,53
4,1.04,Ja'Marr Chase,WR,WR1,CIN,14.79,8.7782,6.01,96.2,1,1.01,-3,70
5,1.05,De'Von Achane,RB,RB4,MIA,13.6,7.9497,5.65,90.4,16,2.04,11,51
6,1.06,Josh Jacobs,RB,RB5,GB,13.55,7.9497,5.6,89.6,13,2.01,7,48
7,1.07,Alvin Kamara,RB,RB6,NO,13.38,7.9497,5.43,86.9,37,4.01,30,72
8,1.08,Jonathan Taylor,RB,RB7,IND,13.24,7.9497,5.29,84.6,18,2.06,10,50
9,1.09,Derrick Henry,RB,RB8,BAL,13.17,7.9497,5.22,83.5,8,1.08,-1,41
10,1.10,Joe Mixon,RB,RB9,,13.14,7.9497,5.19,83.0,94,8.10,84,92
11,1.11,Breece Hall,RB,RB10,NYJ,13.0,7.9497,5.05,80.8,38,4.02,27,73
12,1.12,Brock Bowers,TE,TE1,LV,11.56,6.5682,4.99,79.8,22,2.10,10,80
13,2.01,James Cook III,RB,RB11,BUF,12.91,7.9497,4.96,79.4,28,3.04,15,60
14,2.02,Trey McBride,TE,TE2,ARI,11.33,6.5682,4.76,76.2,27,3.03,13,81
15,2.03,Kyren Williams,RB,RB12,LAR,12.51,7.9497,4.56,73.0,25,3.01,10,53
16,2.04,Jalen Hurts,QB,QB1,PHI,19.7,15.2152,4.48,71.7,35,3.11,19,68
17,2.05,Justin Jefferson,WR,WR2,MIN,13.18,8.7782,4.4,70.4,5,1.05,-12,56
18,2.06,Amon-Ra St. Brown,WR,WR3,DET,13.1,8.7782,4.32,69.1,9,1.09,-9,57
19,2.07,Malik Nabers,WR,WR4,NYG,13.04,8.7782,4.26,68.2,11,1.11,-8,58
20,2.08,CeeDee Lamb,WR,WR5,DAL,12.96,8.7782,4.18,66.9,6,1.06,-14,55
21,2.09,Lamar Jackson,QB,QB2,BAL,19.34,15.2152,4.12,65.9,23,2.11,2,60
22,2.10,Jayden Daniels,QB,QB3,WAS,19.34,15.2152,4.12,65.9,30,3.06,8,63
23,2.11,Josh Allen,QB,QB4,BUF,19.22,15.2152,4.0,64.0,24,2.12,1,61
24,2.12,George Kittle,TE,TE3,SF,10.38,6.5682,3.81,61.0,34,3.10,10,75
25,3.01,James Conner,RB,RB13,ARI,11.54,7.9497,3.59,57.4,47,4.11,22,73
26,3.02,Brian Thomas Jr.,WR,WR6,JAC,12.28,8.7782,3.5,56.0,15,2.03,-11,57
27,3.03,Chase Brown,RB,RB14,CIN,11.37,7.9497,3.42,54.7,21,2.09,-6,39
28,3.04,J.J. McCarthy,QB,QB5,MIN,18.63,15.2152,3.41,54.6,133,12.01,105,81
29,3.05,Bo Nix,QB,QB6,DEN,18.62,15.2152,3.4,54.4,70,6.10,41,68
30,3.06,J.K. Dobbins,RB,RB15,DEN,11.31,7.9497,3.36,53.8,98,9.02,68,84
31,3.07,Brock Purdy,QB,QB7,SF,18.48,15.2152,3.26,52.2,97,9.01,66,72
32,3.08,Travis Kelce,TE,TE4,KC,9.78,6.5682,3.21,51.4,62,6.02,30,76
33,3.09,Kyler Murray,QB,QB8,MIN,18.43,15.2152,3.21,51.4,91,8.07,58,70
34,3.10,Drake Maye,QB,QB9,NE,18.42,15.2152,3.2,51.2,118,10.10,84,76
35,3.11,Puka Nacua,WR,WR7,LAR,11.97,8.7782,3.19,51.0,14,2.02,-21,51
36,3.12,D'Andre Swift,RB,RB16,CHI,11.08,7.9497,3.13,50.1,61,6.01,25,78
37,4.01,David Montgomery,RB,RB17,HOU,11.01,7.9497,3.06,49.0,54,5.06,17,73
38,4.02,David Njoku,TE,TE5,LAC,9.63,6.5682,3.06,49.0,87,8.03,49,85
39,4.03,Bucky Irving,RB,RB18,TB,10.96,7.9497,3.01,48.2,19,2.07,-20,33
40,4.04,Patrick Mahomes II,QB,QB10,KC,18.19,15.2152,2.97,47.5,49,5.01,9,61
