date,season,week,game_type,home_team,home_score,away_team,away_score,neutral_site
1920-09-26,1920,1,REG,RII,48,STP,0,0
1920-10-03,1920,2,REG,AKR,43,WHE,0,0
1920-10-03,1920,2,REG,RCH,10,ABU,0,0
1920-10-03,1920,2,REG,DAY,14,COL,0,0
1920-10-03,1920,2,REG,RII,45,MUN,0,0
1920-10-03,1920,2,REG,CHI,20,MUT,0,0
1920-10-03,1920,2,REG,CBD,48,PTQ,0,0
1920-10-03,1920,2,REG,BFF,32,WBU,6,0
1920-10-10,1920,3,REG,CBD,42,TLM,0,0
1920-10-10,1920,3,REG,BFF,51,ABU,0,0
1920-10-10,1920,3,REG,DHR,40,CLP,14,0
1920-10-10,1920,3,REG,AKR,37,COL,0,0
1920-10-10,1920,3,REG,CHT,0,ARI,0,0
1920-10-10,1920,3,REG,DAY,0,CTI,0,0
1920-10-10,1920,3,REG,RCH,66,FTP,0,0
1920-10-10,1920,3,REG,RII,26,HAM,0,0
1920-10-10,1920,3,REG,CHI,25,KEW,7,0
1920-10-17,1920,4,REG,ARI,33,MUT,3,0
1920-10-17,1920,4,REG,RII,0,CHI,7,0
1920-10-17,1920,4,REG,RCH,0,UTI,0,0
1920-10-17,1920,4,REG,CBD,7,CTI,0,0
1920-10-17,1920,4,REG,AKR,13,CNC,0,0
1920-10-17,1920,4,REG,FTW,14,COL,0,0
1920-10-17,1920,4,REG,CHT,12,DHR,0,0
1920-10-17,1920,4,REG,DAY,44,HAM,0,0
1920-10-17,1920,4,REG,BFF,28,MCK,7,0
1920-10-24,1920,5,REG,DHR,6,COL,0,0
1920-10-24,1920,5,REG,RCH,21,SYR,7,0
1920-10-24,1920,5,REG,BFF,38,TLM,0,0
1920-10-24,1920,5,REG,AKR,7,CTI,0,0
1920-10-24,1920,5,REG,DAY,20,CBD,20,0
1920-10-24,1920,5,REG,CHT,0,CHI,10,0
1920-10-24,1920,5,REG,RII,7,ARI,0,0
1920-10-31,1920,6,REG,DAY,23,CNC,7,0
1920-10-31,1920,6,REG,BFF,17,RCH,6,0
1920-10-31,1920,6,REG,LOG,9,HAM,14,0
1920-10-31,1920,6,REG,ARI,21,DHR,0,0
1920-10-31,1920,6,REG,RCK,0,CHI,29,0
1920-10-31,1920,6,REG,CTI,7,COL,0,0
1920-10-31,1920,6,REG,CBD,0,AKR,10,0
1920-10-31,1920,6,REG,RII,20,CHT,7,0
1920-11-07,1920,7,REG,CTI,0,CBD,18,0
1920-11-07,1920,7,REG,RCH,27,UTI,7,0
1920-11-07,1920,7,REG,RII,0,CHI,0,0
1920-11-07,1920,7,REG,CHT,3,ARI,6,0
1920-11-07,1920,7,REG,BFF,35,ATN,0,0
1920-11-07,1920,7,REG,PUL,13,HAM,14,0
1920-11-07,1920,7,REG,ZAN,0,COL,10,0
1920-11-11,1920,7,REG,CHL,0,CHI,20,0
1920-11-11,1920,7,REG,THO,7,RII,7,0
1920-11-14,1920,8,REG,MNM,0,CHI,3,0
1920-11-14,1920,8,REG,CBD,21,CHT,0,0
1920-11-14,1920,8,REG,ARI,20,CNC,0,0
1920-11-14,1920,8,REG,CTI,7,AKR,7,0
1920-11-14,1920,8,REG,RII,0,DAY,21,0
